id	phase	task	command	depends_on	status	gate_or_expected
0.1	0-setup	Create conda env and install deps on cluster	python3 -m venv .venv && .venv/bin/pip install torch "sentence-transformers>=3.0,<4.0" "peft>=0.11" beir pytrec_eval-terrier numpy openai	-	done	imports succeed; torch.cuda.is_available() True (RTX 5060 Ti, 16GB, CUDA 13.0)
0.2	0-setup	GPU + VRAM check on cluster	python -c "import torch;print(torch.cuda.get_device_name(0),torch.cuda.get_device_properties(0).total_memory/1e9)"	0.1	done	RTX 5060 Ti, 16GB (not 96GB cluster — local machine)
0.3	0-setup	LoRA adapter round-trip sanity check (historical: bge-m3)	see README sanity-check snippet	0.1	done	targets: [query key value dense]; adapter round-trip OK, 290 tensors
0.4	0-setup	Pilot smoke test (bge-small, 2 slices)	python pilot_forgetting.py --model bge-small --slices nfcorpus scifact --seed 42	0.1	done	R-matrix prints; BWT computed (Colab: -0.0424)
0.5	0-setup	Federated 1-round smoke test (bge-small)	python federated_forgetting.py --model bge-small --slices nfcorpus scifact --num_rounds 1 --seed 42	0.1	done	full FedAvg loop runs; round_1 prints (Colab OK)
1.1	1-phenomenon	Zero-shot retriever comparison (pick model)	python benchmark_retrievers.py --local_models compare --slices nfcorpus fiqa scifact arguana scidocs --metrics ndcg@10 recall@10 recall@100	0.3	todo	SOTA > bge-m3; choose 1 strong + 1 cheap model
1.2	1-phenomenon	Pilot forgetting contriever 4 slices seed 42	python pilot_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --seed 42	0.3	todo	negative BWT / positive Forgetting on early slices
1.3	1-phenomenon	Pilot forgetting seed 123	python pilot_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --seed 123	1.2	todo	forgetting persists under reshuffled order
1.4	1-phenomenon	Pilot forgetting seed 2024	python pilot_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --seed 2024	1.2	todo	forgetting persists under reshuffled order
1.5	1-phenomenon	Controls: frozen / independent / joint ceilings	python controls.py --model contriever --slices nfcorpus fiqa scifact arguana --seed 42	0.3	todo	sequential-final sits below independent and joint; ALSO the headroom gate (check_headroom.py) must pass -- bge-m3 FAILED it on nfcorpus (-0.0124) and fiqa (-0.0139), which is why the backbone is contriever
1.6	1-phenomenon	GATE: phenomenon confirmed at scale	-	1.2,1.3,1.4,1.5	todo	BWT<0 across 3 seeds AND clear gap to ceilings -> proceed
2.1	2-federated	Federated forgetting contriever 5 rounds seed 42	python federated_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --num_rounds 5 --seed 42	1.6	todo	federated R-matrix + anchored BWT produced
2.2	2-federated	Federated seeds 123 and 2024	python federated_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --num_rounds 5 --seed 123	2.1	todo	result stable across seeds
2.3	2-federated	Federated size-weighted FedAvg variant	python federated_forgetting.py --model contriever --slices nfcorpus fiqa scifact arguana --num_rounds 5 --seed 42 --weighted	2.1	todo	tests whether corpus-size imbalance drives interference
2.4	2-federated	GATE: federated-vs-centralized framing decision	-	2.1,2.2,2.3,1.5	todo	compare federated-final vs centralized-final -> set narrative
3.1	3-temporal	Build dataset catalog (temporal/federated/QA)	-	-	todo	catalog of temporal/federated/QA datasets prints
3.2	3-temporal	Build temporal-shift environment (snapshots + stability probe)	-	3.1	todo	time-ordered snapshots + frozen cumulative-vs-own-index probe
3.3	3-temporal	Run stability probe (confound control)	-	3.2	todo	frozen retriever stable across snapshots (isolates training-induced drop)
3.4	3-temporal	Build FinFedRAG (EDGAR 10-K by year x SIC)	-	3.2	todo	real temporal axis (year) x federated axis (SIC code)
3.5	3-temporal	Wire temporal snapshots into federated_forgetting	-	3.2,2.4	todo	each client gets a time-sliced corpus (federated-temporal env)
4.1	4-method	FedSpan method: one global adapter, shared frozen row-orthonormal A, conflict-aware norm-consistent B-delta aggregation (--weight_by normmaxmin). No EWC, no Fisher, no per-client adapters, no replay.	see README 'Corrected FedSpan requires all of'	2.4	implemented-unvalidated	IMPLEMENTED and unit-tested. External eleven-row E0 correctness campaign completed and strengthened post-hoc validation passed all eleven rows. E1–E5 and paper-scale efficacy evidence remain absent, so the method-validation gate is unmet.
4.2	4-method	FlowRAG baseline wrapper (reproduce + federate)	-	2.4	todo	prompt-based baseline; show it fails / underperforms in federated setting
4.3	4-method	Ablations: LoRA rank, LR sweep, frozen vs ANCE negatives, direction policy (minnorm vs maxmin-lp), frozen-A row scale (unit vs peft-init)	-	4.1	todo	effect robust to hyperparameters
5.1	5-eng	Fix LoRA target_modules for Qwen-family backbones	-	-	partial	check_lora_targets now fails fast with a clear error on unsupported backbones; q_proj/k_proj/v_proj/o_proj auto-detection still todo
5.2	5-eng	Add requirements.txt with pinned versions	-	-	partial	requirements.txt added with tested bounds; regenerate exact pins via pip freeze on the run machine
5.3	5-eng	Add orchestration script (all seeds + summary table)	-	1.2,2.1	todo	one nohup command produces mean+/-std BWT table
